99EPAD_933  Body Imaging
RID34745    metabolic bone disease
RID34746    osteogenesis imperfecta
RID34747    dural ectasia
RID34748    mitral valve insufficiency
RID34749    pseudolesion
RID3475     Crohn disease
RID34750    closed-loop obstruction
RID34751    small bowel closed-loop obstruction
RID34753    neurocutaneous syndrome
RID34754    tuberous sclerosis syndrome
RID34755    brain damage
RID34756    graft versus host disease
RID34757    infection by tapeworm larvae
RID34758    cysticercosis
RID34759    diffuse spasm
RID3476     ulcerative colitis
RID34760    diffuse esophageal spasm
RID34763    nasal septum deviation
RID34765    syphilis
RID34766    partial anomalous pulmonary venous return
RID34767    endometrioma
RID34768    pertussis
RID34769    viral pneumonia
RID3477     keratosis obturans
RID34770    amyloid arthropathy
RID34772    meningocele
RID34773    total anomalous pulmonary venous return
RID34774    hematuria
RID34775    double-column acetabulum fracture
RID34776    papillary transitional cell carcinoma
RID34778    metachromatic leukodystrophy
RID34779    hyperacute
RID3478     Kawasaki disease
RID34780    absence
RID34781    asplenia
RID34782    persistent embryonic trigeminal artery
RID34783    proliferation
RID34784    disorder of pregnancy
RID34785    clinical finding
RID34786    blighted ovum
RID34787    granulomatous disease
RID34788    encephalotrigeminal angiomatosis
RID34789    hypertrophic osteoarthropathy
RID34790    separation
RID34792    twin dichorionic diamniotic placenta
RID34793    dissecting aortic aneurysm
RID34794    degenerative spondylolisthesis
RID34795    heart failure
RID34796    right heart failure
RID34797    spinal fusion
RID34799    persistent truncus arteriosus
RID3480     Kimura disease
RID34800    increased intracranial pressure
RID34804    ovarian vein
RID3481     labyrinthine ossification
RID34819    adrenal vein
RID34825    retinaculum
RID3483     labyrinthitis
RID34834    enlarged parietal foramina
RID34835    T-cell lymphoma
RID34837    congenital chromosomal abnormality
RID3484     lymphadenitis
RID34859    fat body
RID34861    object
RID34876    tibiofibular joint
RID34878    cystography
RID34879    retrograde ureterography
RID3488     malakoplakia
RID34880    double-contrast barium enema
RID34881    irregular bone
RID34884    umbilical vein
RID34886    epiphyseal plate
RID34889    pulmonary infarction
RID3489     mastoiditis
RID34890    urethra
RID34897    pericardial recess
RID3490     mediastinitis
RID34918    main bronchus
RID3492     Meniere syndrome
RID34920    upper lobe bronchus
RID3494     meningitis
RID34941    pleural recess
RID34943    capsule
RID3495     leptomeningitis
RID34951    ankle fracture
RID34952    Weber type A fracture
RID34953    Weber type B fracture
RID3496     arachnoiditis
RID3497     basilar meningitis
RID34979    decussation
RID3498     pachymeningitis
RID34987    external genitalia
RID3499     meningoencephalitis
RID34991    abdominal fat necrosis sign
RID3500     mesenteritis
RID35000    air crescent sign
RID35002    Andersson lesion
RID35006    anteater nose sign
RID3501     myelitis
RID35012    antral pad sign
RID35015    Apert syndrome
RID35016    apical cap
RID35018    applecore lesion
RID3502     transverse myelitis
RID35020    arcuate sign
RID35021    arrowhead sign
RID35022    arterial cut-off sign
RID3503     myocarditis
RID35031    bamboo spine
RID35032    banana sign
RID35039    big rib sign
RID3504     myositis
RID35049    block vertebra
RID3505     neuritis
RID35053    boot-shaped heart sign
RID35054    border sign
RID35055    boutonniere deformity
RID35056    bow tie sign
RID35058    bridging vascular sign
RID3506     orbital pseudotumor
RID35067    button sequestrum sign
RID35068    calyceal crescent sign
RID35069    cancellous ulcer osteoma
RID3507     periscleritic form orbital pseudotumor
RID35073    Carman meniscus sign
RID35074    carotid string sign
RID35077    celery stalk metaphysis
RID35078    celery stalk sign
RID3508     tumefactive form orbital pseudotumor
RID35084    claw hand
RID3509     myositic form orbital pseudotumor
RID35090    cobra head sign
RID35093    Codman triangle
RID35095    coin lesion
RID35097    collar sign
RID35099    colon cutoff sign
RID3510     perineuritic orbital pseudotumor
RID35101    comb sign
RID35102    comet sign
RID35103    concentric ring sign
RID35104    continuous diaphragm sign
RID35109    cord sign
RID3511     lacrimal orbital pseudotumor
RID35112    corkscrew collaterals
RID35114    corner sign
RID3512     diffuse orbital pseudotumor
RID35120    crazy-paving sign
RID35121    crescent sign
RID35125    crossover sign
RID35127    CT angiogram sign
RID35128    CT arrowhead sign
RID3513     Brodie abscess
RID35131    cupola sign
RID35134    cyclops lesion
RID35135    dagger sign
RID35136    deep lateral femoral notch sign
RID35137    deep sulcus sign
RID35139    dense metaphyseal band sign
RID3514     sclerosing osteomyelitis
RID35141    dependent viscera sign
RID35147    disappearing basal ganglia sign
RID3515     chronic symmetric plasma cell osteomyelitis
RID35151    disk kidney
RID35156    distended common bile duct
RID35158    dog leg sign
RID35162    double bronchial wall sign
RID35163    double bubble sign
RID35165    double condom sign
RID35166    double contour sign
RID35167    double decidual sac sign
RID35168    double duct sign
RID3517     otitis
RID35170    double posterior cruciate ligament sign
RID35173    double-line sign
RID35174    doughnut sign
RID35175    draped aorta sign
RID35176    dripping candle wax sign
RID35177    dromedary hump
RID35178    drooping lily sign
RID3518     otitis media
RID35181    duodenal wind sock sign
RID35182    dural tail sign
RID35187    empty delta sign
RID3519     otitis externa
RID35193    extrapleural sign
RID35194    eye-of-the-tiger sign
RID35196    faceless kidney
RID35197    falciform ligament sign
RID35198    fallen fragment sign
RID3520     malignant otitis externa
RID35200    fat C2 sign
RID35201    fat halo sign
RID35202    fat pad sign
RID35203    fat ring sign
RID35204    fat sign
RID35205    FBI sign
RID35206    feeding vessel sign
RID35212    fish vertebra
RID35214    fissure sign
RID35223    floating aorta sign
RID35226    floating viscera sign
RID35228    fluid-fluid level
RID35229    focal hepatic hot spot sign
RID35230    football sign
RID35231    four-tendon sign
RID3524     osteitis
RID35241    gloved finger sign
RID35243    Golden S sign
RID35244    golf ball-on-tee sign
RID35247    ground glass pattern
RID35249    growing calculus sign
RID3525     osteitis fibrosa cystica
RID35253    hair-on-end sign
RID3526     condensing osteitis
RID35263    Hawkins sign
RID35264    headcheese sign
RID35267    hematocrit effect
RID3527     otosclerosis
RID35270    hide-bound bowel sign
RID35275    hilum overlay sign
RID35276    hitchhiker thumb
RID35279    Honda sign
RID35280    honeycomb lung
RID35281    hook sign
RID35282    horseshoe kidney
RID35284    hot cross bun sign
RID35285    hot nose sign
RID35286    hourglass appearance
RID35287    hump sign
RID35288    hydronephrotic rim
RID35289    hyperattenuating crescent sign
RID3529     pancreatitis
RID35296    iceberg sign
RID3530     autoimmune pancreatitis
RID35300    incomplete fissure sign
RID35307    interface sign
RID3531     hereditary pancreatitis
RID35311    intravertebral vacuum cleft sign
RID35313    inverted V sign
RID35314    ivory osteoma
RID35316    ivory vertebra sign
RID35318    jack stone
RID3532     panniculitis
RID35320    jet phenomenon
RID35322    joint mice
RID35324    keyboard sign
RID35327    kidney sweat
RID3533     parotitis
RID35333    lacunar skull
RID35337    lateral femoral notch sign
RID3534     pericarditis
RID35342    lemon sign
RID35343    leontiasis ossea
RID35345    light bulb sign
RID35348    lobster claw
RID3535     peritonitis
RID35350    lollipop sign
RID35355    Luftsichel sign
RID35359    Madelung deformity
RID3536     meconium peritonitis
RID35361    maiden waist deformity
RID35365    MCA dot sign
RID3537     petrous apicitis
RID35371    Mercedes Benz sign
RID35373    metacarpal sign
RID35375    midsternal stripe sign
RID35377    miliary pattern
RID35378    Milwaukee shoulder
RID35387    Mount Fuji sign
RID35389    mulberry stone
RID3539     pharyngitis
RID35390    multiple concentric ring sign
RID35391    musculoskeletal crescent sign
RID35393    naked facet sign
RID35398    nipple sign
RID354      capsule of prostate
RID3540     pleuritis
RID35401    nutmeg liver
RID35408    onion ring appearance
RID3541     pneumonitis
RID35413    Page kidney
RID35414    paintbrush appearance
RID35416    panda sign
RID35419    parallel channel sign
RID35423    pear-shaped bladder
RID35424    pearl necklace gallbladder
RID35426    pedicle sign
RID3544     prostatitis
RID35442    picket fence
RID35444    pie-in-the-sky bladder
RID35447    pistol grip deformity
RID35449    pleural tail
RID3545     pyelitis
RID35452    polka-dot sign
RID35455    posterior vertebral scalloping
RID35457    pronator quadratus sign
RID35458    pruned tree sign
RID35460    pseudocalculus sign
RID35461    pseudokidney sign
RID35462    pseudotumor sign
RID35466    pulmonary sling
RID35467    putty kidney
RID3547     pyelonephritis
RID35471    radial bands sign
RID35476    renal halo sign
RID35477    reversal sign
RID3548     pyonephrosis
RID35480    reverse rim sign
RID35482    reversed halo sign
RID35484    ribbon ribs
RID3549     retinitis
RID35495    ring of fire sign
RID35498    ring stricture sign
RID35499    ring-around-the-artery sign
RID355      neurovascular bundle
RID35501    rocker-bottom thymus sign
RID35503    rosary sign
RID35505    rugger jersey spine
RID35514    sandwich sign
RID35515    sandwich vertebrae
RID35516    sausage digit
RID3552     rheumatic disease
RID35521    scimitar sign
RID35523    sedimentation sign
RID35528    shading sign
RID3553     arthritis
RID35536    shotgun sign
RID35538    shoulder sign
RID3554     psoriatic arthritis
RID35544    silhouette sign
RID3555     osteoarthritis
RID35550    small heart sign
RID35552    small-bowel feces sign
RID35555    snowman sign
RID35558    soft-tissue rim sign
RID3556     endemic osteoarthritis
RID35560    spade shape
RID35561    spaghetti sign
RID35565    spider web
RID35566    spinnaker sail sign
RID35570    split pleura sign
RID35573    spotted nephrogram
RID35574    spur sign
RID35578    staghorn calculus
RID35580    starry sky
RID35581    steeple sign
RID35583    stepladder sign
RID35586    stipple sign
RID35587    straight line sign
RID3559     erosive osteoarthritis
RID35590    string sign
RID35598    sulcus sign
RID35599    sunburst pattern
RID3560     osteoarthritis deformans
RID35600    superior triangle sign
RID35603    swirl sign
RID35607    talar beak sign
RID35608    tangent sign
RID3561     rheumatoid arthritis
RID35614    target sign of liver
RID35616    tarsal coalition
RID35617    tattoo sign
RID35618    tau sign
RID35629    thimble bladder
RID35635    thumb sign
RID35636    thumbprinting
RID35638    thymic wave sign
RID35640    tip of the iceberg sign
RID35642    tooth sign
RID35643    toothpaste sign
RID35654    tree-in-bud sign
RID35655    triangle sign
RID35657    trident hand
RID35658    triple bubble sign
RID35660    trough line sign
RID35663    tubular artery sign
RID35668    turret exostosis
RID35669    twin peak sign
RID3567     gout arthritis
RID35674    upper triangle sign
RID35691    water lily sign
RID35693    watering can perineum
RID35694    wave sign
RID35696    shadow sign
RID35697    Westermark sign
RID35699    whirlpool sign
RID357      seminal vesicle
RID35710    yin-yang sign
RID3572     pseudo-gout
RID35722    dual phase
RID35723    colonography
RID35725    diagnostic imaging
RID35726    triple phase
RID35727    apical projection
RID35729    frontal and lateral projection
RID35732    guidance
RID35736    high resolution
RID35737    low dose
RID35738    congenital disorder
RID35743    tarsal bone
RID35752    carpal bone
RID35753    sesamoid bone
RID35754    mastoid region
RID35762    occipital protuberance
RID35767    discography
RID35768    cisternography
RID35772    pelvimetry
RID35773    scanogram
RID35774    nerve block
RID35775    screw placement
RID35777    stereotactic localization
RID358      vas deferens
RID35804    hypointense
RID35805    hyperintense
RID35806    fluid-attenuated inversion recovery
RID35807    medullary nephrocalcinosis
RID35809    thoracolumbar spine region
RID35811    renal cyst
RID35813    paracentesis
RID35814    pericardiocentesis
RID35815    thoracentesis
RID35816    needle placement
RID35817    oral contrast
RID35818    rectal contrast
RID35819    surgical equipment
RID35838    arterial trunk
RID35844    descending thoracic aorta
RID35862    coronary artery
RID35880    anastomosis
RID35881    vascular anastomosis
RID35882    arterial anastomosis
RID35949    bifurcation of aorta
RID35962    umbilical artery
RID35964    digit
RID35965    follow-up procedure
RID35966    research
RID35968    volume quantification
RID3597     calcific periarthritis
RID35973    pharmaceutical
RID35974    venous anastomosis
RID35977    property
RID35978    Chilaiditi syndrome
RID3598     arthritis of hemochromatosis
RID35980    pseudopneumoperitoneum
RID35999    deep cerebral vein
RID36       probably not
RID36003    cerebellar vein
RID36008    benign finding
RID36014    multiple spinal levels
RID36016    thin section
RID36017    3D image processing
RID36018    venipuncture
RID36019    facet block
RID36026    assessment
RID36027    BI-RADS assessment
RID36028    BI-RADS 1
RID36029    BI-RADS 2
RID3603     spondyloarthropathy
RID36030    BI-RADS 4
RID36031    BI-RADS 4A
RID36032    BI-RADS 4B
RID36033    BI-RADS 4C
RID36034    BI-RADS 5
RID36035    BI-RADS 6
RID36036    BI-RADS 0
RID36038    typically benign
RID36039    higher probability of malignancy
RID3604     ankylosing spondylitis
RID36040    intermediate concern
RID36041    BI-RADS 3
RID36042    malignant neoplasm
RID36043    increased
RID36044    decreased
RID3605     renal spondyloarthropathy
RID3606     dialysis spondyloarthropathy
RID3608     seronegative spondyloarthropathy
RID361      ejaculatory duct
RID3610     juvenile rheumatoid arthritis
RID3611     seronegative juvenile rheumatoid arthritis
RID3613     diabetic cheiroarthropathy
RID3614     infective arthritis
RID36161    anterior cerebral vein
RID3617     infective discitis
RID362      penis
RID3629     periarthritis
RID363      corpus spongiosum
RID3630     synovitis
RID3631     acute serous synovitis
RID3632     bursitis
RID3633     septic bursitis
RID3634     lumbar interspinous bursitis
RID3636     granulomatous synovitis
RID3637     infectious synovitis
RID364      corpus cavernosum
RID3640     pannus
RID3641     pigmented villonodular synovitis
RID3643     proliferative synovitis
RID3644     synovitis due to foreign material
RID3645     silicone synovitis
RID36453    temporal artery
RID3646     starch synovitis
RID3647     traumatic synovitis
RID3648     villonodular synovitis
RID3649     tendinitis
RID365      scrotum
RID3651     tenosynovitis
RID3652     fibromyalgia
RID3653     polymyalgia rheumatica
RID3654     polymyositis
RID3655     sialadenitis
RID3659     sialodochitis
RID366      testis
RID3663     sinusitis
RID3664     surfer ear
RID3666     thyroiditis
RID3667     suppurative thyroiditis
RID3668     subacute thyroiditis
RID3669     Hashimoto thyroiditis
RID3670     Riedel thyroiditis
RID3671     Grave disease
RID3673     Tolosa-Hunt syndrome
RID3674     tonsillitis
RID3675     ureteritis
RID3676     ureteritis cystica
RID3681     vasculitis
RID3682     arteritis
RID3684     aortitis
RID3686     giant cell arteritis
RID3687     temporal arteritis
RID3689     lymphomatoid granulomatosis
RID3691     polyarteritis
RID3692     polyarteritis nodosa
RID3694     Takayasu arteritis
RID3695     leukocytoclastic vasculitis
RID3696     pulmonary arteritis
RID3697     primary angiitis of central nervous system
RID3699     phlebitis
RID3700     thrombophlebitis
RID3701     ventriculitis
RID3702     Wegener granulomatosis
RID3703     eosinophilic cystitis
RID3704     cystitis cystica
RID3705     cystitis glandularis
RID3706     xanthogranulomatous inflammation
RID3707     xanthogranulomatous pyelonephritis
RID3709     xanthogranulomatous cholecystitis
RID371      epididymis
RID3710     Infection
RID3711     abscess
RID3712     tubo-ovarian abscess
RID3713     subphrenic abscess
RID3714     empyema
RID3715     osteomyelitis
RID3716     pelvic inflammatory disease
RID372      head of epididymis
RID3725     tuberculous spondylitis
RID3732     aplasia
RID3733     agenesis
RID3735     atresia
RID3736     choanal atresia
RID3737     dysplasia
RID3738     fibrous dysplasia
RID3739     cherubism
RID3740     multicystic dysplasia
RID3741     dysgenesis
RID3742     ectopic tissue
RID3745     ectopic pancreatic rest
RID3747     pelvic kidney
RID3748     crossed ectopia
RID375      spermatic cord
RID3750     splenosis
RID3751     graft
RID3752     bone graft
RID3753     cancellous bone graft
RID3754     corticocancellous bone graft
RID3755     cortical bone graft
RID3756     ligament graft
RID3757     transplanted organ
RID376      pampiniform plexus
RID3760     nodular heterotopia
RID3761     subependymal nodular heterotopia
RID3762     subcortical nodular heterotopia
RID3763     band heterotopia
RID3764     pachygyria
RID3766     lissencephaly
RID3768     polymicrogyria
RID377      pelvic floor
RID3770     lingual thyroid
RID3771     focal cortical dysplasia without balloon cells
RID3773     nasal glioma
RID3775     enlargement
RID3777     hyperplasia
RID3778     focal nodular hyperplasia
RID3779     telangiectatic focal nodular hyperplasia
RID3780     lymphoid hyperplasia
RID3781     Castleman disease
RID3784     benign prostatic hyperplasia
RID37859    right renal artery
RID3786     hyperkeratosis
RID37860    left renal artery
RID3789     acanthosis nigricans
RID3790     nodular hyperplasia
RID3792     adenoid hyperplasia
RID3793     distension
RID3795     hypertrophy
RID3796     splenic sequestration
RID3797     goiter
RID3798     lymphadenopathy
RID38       almost certainly
RID3800     fusion
RID3804     growth arrest
RID3805     growth retardation
RID38068    ovarian artery
RID3807     involution
RID38078    hepatic artery
RID3808     microgallbladder
RID38089    subdivision of cystic artery
RID3809     metaplasia
RID381      pubococcygeus
RID3810     squamous metaplasia
RID38121    accessory cystic artery
RID3813     regeneration
RID3814     remodeling
RID3815     Paget disease
RID3817     clubbing
RID3818     contracture
RID3819     granulation tissue
RID3820     fibrosis
RID3821     interstitial fibrosis
RID3822     cirrhosis
RID3823     primary biliary cirrhosis
RID3824     Peyronie disease
RID3825     retroperitoneal fibrosis
RID3826     myelofibrosis
RID3827     gliosis
RID3828     keloid
RID38283    left gastric vein
RID38285    para-umbilical vein
RID38287    jejunal vein
RID38289    middle colic vein
RID3829     scar
RID38297    short gastric vein
RID383      iliococcygeus
RID3830     radial scar
RID3831     adhesion
RID3832     synechia
RID3833     intrauterine synechia
RID3838     extramedullary hematopoiesis
RID3839     lymphoproliferative disorder
RID3840     lymphoma
RID3842     Hodgkin lymphoma
RID3843     non-Hodgkin lymphoma
RID3844     large cell lymphoma
RID3845     histiocytosis
RID3846     Langerhans cell histiocytosis
RID3848     Hand-Schuller-Christian disease
RID3849     eosinophilic granuloma
RID3850     non-Langerhans cell histiocytosis
RID3851     Rosai-Dorfman disease
RID3852     Erdheim-Chester disease
RID3853     hemophagocytic lymphohistiocytosis
RID3854     juvenile xanthogranuloma
RID3855     xanthoma disseminatum
RID3856     choroid plexus xanthogranuloma
RID3857     granulocytic sarcoma
RID38584    not seen
RID38586    renal calculus
RID38587    ureteral calculus
RID38588    pericardial effusion
RID3859     plasma cell granuloma
RID38590    atrial septal defect
RID38591    Autoimmune Disease
RID38592    mesenteric ischemia
RID38593    unilateral
RID38594    bone marrow
RID38595    calf
RID38596    endovaginal coil
RID38597    clip placement
RID38602    vacuum-assisted biopsy
RID38603    on call
RID38604    cerebrovascular disease
RID38605    Moyamoya disease
RID38607    assessment procedure
RID38608    assess treatment response
RID38609    rotational angiography
RID3861     plasmacytoma
RID38611    biopsy
RID3862     myeloproliferative disorder
RID3863     leukemia
RID3864     multiple myeloma
RID38644    subdivision of eustachian tube
RID38647    epicondyle
RID3865     polycythemia vera
RID3866     Madelung disease
RID38660    dual-energy CT
RID38661    more than 5
RID38662    innumerable
RID38667    thinning
RID38669    diminished
RID38670    clear
RID38676    diatrizoate
RID38678    Gastrografin
RID38679    MD-Gastroview
RID3868     adenomyosis
RID38682    Hypaque
RID38683    iothalamate
RID38684    Conray
RID38688    ioxithalamate
RID38689    Telebrix
RID3869     adenomyomatosis
RID38694    ioxaglate
RID38695    Hexabrix
RID38696    non-ionic iodinated contrast agent
RID3870     endometriosis
RID38701    iohexol
RID38702    Omnipaque
RID38708    iomeprol
RID38709    iopamidol
RID3871     post-transplant lymphoproliferative disorder
RID38710    Isovue
RID38719    Iopamidol-370
RID38720    iopentol
RID38721    Imagopaque
RID38723    iopromide
RID38724    Ultravist
RID38729    ioversol
RID3873     focal proliferation
RID38730    Optiray
RID38737    Oxilan
RID3874     mass
RID38741    iodixanol
RID38742    Visipaque
RID38745    iotrolan
RID38746    Isovist
RID38748    multiphase
RID38749    single phase
RID3875     nodule
RID38750    obese adult
RID38752    ultra-high resolution
RID38755    4-dimensional CT
RID3876     micronodule
RID38760    imaging protocol
RID38761    femoral artery
RID38769    not parallel
RID3877     macronodule
RID38771    hamstring tendon
RID38775    ischemic penumbra
RID38776    ischemic core
RID38777    specimen
RID38778    diffusion tensor imaging
RID38779    neurography
RID3878     rheumatoid nodule
RID38780    lesion
RID38787    iliac spine
RID3879     regenerative nodule
RID38794    reticulation
RID38799    advanced
RID388      rectovaginal fascia
RID3880     dysplastic nodule
RID38800    akinesia
RID38801    alignment
RID38802    enzyme
RID38803    amylase
RID38804    anatomical anomaly
RID38805    arterial anomaly
RID38806    anteverted
RID38807    retroverted
RID38808    anterior tibiofibular ligament
RID38809    posterior tibiofibular ligament
RID3881     polyp
RID38810    anterolateral
RID38811    asymptomatic
RID38812    magnetic resonance cholangiopancreatography
RID38813    cholangiopancreatography
RID38815    black
RID3882     inflammatory esophagogastric polyp
RID3883     fibroepithelial polyp
RID3884     fibrovascular polyp
RID3885     cholesterol polyp
RID3887     adenomatous polyp
RID3888     hyperplastic polyp
RID3889     inflammatory fibroid polyp
RID38896    prostatic utricle
RID389      parametrium
RID3890     cyst
RID3891     arachnoid cyst
RID3892     Baker cyst
RID3893     Bartholin gland cyst
RID3894     bone cyst
RID3896     choledochal cyst
RID3898     choroid plexus cyst
RID3899     colloid cyst
RID39       definitely not
RID3900     communicating cyst
RID39000    accessory parotid gland
RID39003    sublingual gland
RID3903     dentigerous cyst
RID39030    bone age
RID39031    bowed
RID39032    brown
RID39033    center
RID39034    hormone
RID39035    cholecystokinin
RID39036    cloudy
RID39037    yellow
RID39038    location
RID3904     dermoid cyst
RID39040    color
RID39041    concave
RID39042    concentration
RID39043    congruent
RID39044    contiguous
RID39045    imaging with contrast
RID39046    convex
RID39047    definite
RID39048    diabetes
RID39049    atherosclerosis
RID39050    symptom
RID39051    cough
RID39052    constipation
RID39055    breast mass
RID39056    lung mass
RID3906     duplication cyst
RID39064    skeleton
RID39065    delayed
RID39066    depth
RID39067    degenerated
RID39069    dislocated
RID3907     epidermoid
RID39070    disrupted
RID39071    dyskinetic
RID39072    elongated
RID39073    human
RID39075    geriatric
RID39076    encephalomalacia
RID39079    excellent
RID39080    fair
RID39081    poor
RID39082    diarrhea
RID39083    fever
RID39086    fractured
RID39087    full-term
RID39088    good
RID39089    green
RID39093    hammertoe
RID39094    headache
RID39095    hyperenhancement
RID39096    hyperlipidemia
RID39097    hypertension
RID39099    hypoinflated
RID3910     ependymal cyst
RID39100    hypokinesia
RID39101    hypokinetic
RID39103    inferoseptal
RID39104    inferolateral
RID39105    improved
RID39106    inadequate
RID39109    infertility
RID3911     Gartner duct cyst
RID39110    indeterminate
RID39112    insignificant
RID39113    insufficient
RID39114    sufficient
RID39115    intact
RID39118    intertarsal
RID3912     hydrocele
RID39120    known
RID39121    lateral
RID39122    layered
RID39123    length
RID39124    macroscopic
RID39125    microscopic
RID39126    hypoenhancement
RID39127    late arterial phase
RID39128    process
RID39129    biological process
RID3913     juxtaarticular cyst
RID39130    metabolism
RID39131    metallic
RID39132    motility
RID39133    multilobulated
RID39136    myelomalacia
RID39137    myocardial bridge
RID39138    odynophagia
RID39139    os trigonum
RID3914     lymphoepithelial cyst
RID39141    postmenopausal
RID39142    posteromedial
RID39143    posterolateral
RID39144    width
RID39146    capsule appearance
RID39147    equivocal
RID39149    mosaic architecture
RID3915     meniscal cyst
RID39150    nodule-in-nodule
RID39151    white
RID39153    turbid
RID39154    purulent
RID3916     mesothelial cyst
RID39160    measurement unit
RID39161    Hounsfield unit
RID39162    progressive
RID39163    minimum
RID39164    maximum
RID39167    circumference
RID39168    retrolisthesis
RID39169    rotoscoliosis
RID39170    satisfactory
RID39171    serrated
RID39172    serosanguinous
RID39173    sonographic Murphy sign
RID39174    suboptimal
RID39175    suspected
RID39176    symptomatic
RID39177    uncertain
RID39178    congenital anomaly of uterus
RID39179    unicornuate uterus
RID3918     Mullerian duct cyst
RID39182    unsatisfactory
RID39183    unstable
RID39184    varicocele
RID39185    venous thrombosis
RID39186    vomiting
RID39187    wide
RID39206    multisystem disorder
RID39207    bilious
RID39208    bloody
RID39209    circumaortic
RID3921     Nabothian cyst
RID39210    bicornate uterus
RID39213    corticomedullary phase
RID39214    nephrographic phase
RID39215    excretory phase
RID39218    deformity
RID39219    dizziness
RID3922     neurenteric cyst
RID39220    echocardiography
RID39221    femoral
RID39222    gestation
RID39223    gluteal
RID39224    mean value calculated
RID39225    nonevaluable
RID39226    noncalcified
RID39227    nonpatent
RID39228    nonbilious
RID39229    paraaortic
RID39231    pedicular
RID39232    suprapedicular
RID39233    perihilar
RID39234    peristalsis
RID39235    perpendicular
RID39237    premature
RID39238    regurgitation
RID39239    retroaortic
RID39240    retroflexed
RID39241    superolateral
RID39242    supraclinoid
RID39243    supralevator
RID39244    swallowing
RID39249    atherosclerotic aneurysm
RID3925     neuroglial cyst
RID39250    allergy
RID39251    anteroseptal
RID39252    chemotherapy
RID39253    contamination
RID39254    contralateral
RID39255    uterus didelphys
RID39256    impeded
RID39259    patella alta
RID39261    pre-aortic
RID39262    radiotherapy
RID39263    sepsis
RID39264    septal
RID39265    shortness of breath
RID39266    mature
RID39267    ulnar
RID39268    unchanged
RID39269    unfolded
RID3927     neuroepithelial cyst
RID39270    fibromyoma
RID39271    worsening
RID39272    dural
RID39273    tumor stage
RID39274    T stage
RID39275    N stage
RID39279    Tis
RID3928     odontogenic cyst
RID3929     parapelvic cyst
RID3930     pars intermedia cyst
RID39308    adequate
RID39311    arcuate
RID39312    cervical ribs
RID39314    suspicious
RID39316    height
RID39317    infiltrate
RID39318    transglottic
RID3932     perineural cyst
RID39322    hydrops fetalis
RID39326    epiploic foramen
RID39332    post-transplant
RID39334    intraoperative
RID39337    greater than 1 hour
RID39338    less than 1 hour
RID39339    arthrocentesis
RID39340    compression repair of pseudoaneurysm
RID39342    platelet-rich plasma injection
RID3935     Rathke cleft cyst
RID39357    tuberosity
RID3936     retention cyst
RID3939     spermatocele
RID3940     synovial cyst
RID39409    composition
RID3941     Tornwaldt cyst
RID39412    hypermetabolic
RID39413    misregistration artifact
RID3942     thymic cyst
RID39427    atypical epithelium
RID3943     thyroglossal duct cyst
RID39440    cirrhosis-associated nodules
RID39442    corona enhancement
RID39446    diagnostic
RID39447    diameter reduction
RID3945     simple bone cyst
RID39451    fade
RID39452    feature
RID39453    focal scar
RID39457    heterogeneous enhancement
RID39460    diameter increase
RID39461    increasing enhancement
RID39462    infiltrative hepatocellular carcinoma
RID39463    intralesional fat
RID39466    liver mass
RID39467    T2 hyperintensity
RID39473    perfusion alteration
RID39474    perivascular
RID39476    pre-contrast imaging
RID39478    rounded
RID39479    spontaneous hemorrhage
RID3948     aneursymal bone cyst
RID39481    suggestive
RID39486    washout appearance
RID3949     ganglion cyst
RID39492    muscle belly
RID3950     cholesteatoma
RID39500    levator ani
RID39509    pelvic girdle
RID3951     acquired cholesteatoma
RID39518    shoulder
RID3952     congenital cholesteatoma
RID39523    incisive canal
RID3953     granuloma
RID39533    angle
RID39534    early hepatic arterial phase
RID39535    late hepatic arterial phase
RID39536    diffusion-weighted hyperintensity
RID39538    hysterosonography
RID39539    oocyte retrieval
RID3954     pseudocyst
RID39542    transrectal
RID39543    transvaginal
RID39544    transplanted kidney
RID39546    fetal abnormality
RID39547    growth
RID39548    fetal growth
RID39549    pregnancy stage
RID3955     mucocele
RID39550    first trimester
RID39551    second trimester
RID39552    third trimester
RID39554    twin pregnancy
RID39562    disappearance
RID39563    homogeneous enhancement
RID3957     neoplasm
RID396      perineum
RID3962     acinar cell carcinoma
RID39626    medial condyle of tibia
RID39629    lateral condyle of tibia
RID3963     acinar cell cystadenocarcinoma
RID3965     angioblastoma
RID3966     angiofibroma
RID3967     cystic angiomatosis
RID39681    olecranon
RID3969     hemangioma
RID397      peritoneal cavity
RID3970     angiokeratoma
RID3972     capillary hemangioma
RID3973     cavernous angioma
RID3976     epithelioid hemangioma
RID3977     infantile hemangioma
RID3978     racemose hemangioma
RID398      paracolic gutter
RID3980     rapidly involuting congenital hemangioma
RID3981     noninvoluting congenital hemangioma
RID3982     intramuscular hemangioma
RID3983     hemangiomatosis
RID3984     lobular capillary hemangioma
RID3986     venous hemangioma
RID3987     verrucous keratotic hemangioma
RID3988     hemangioendothelioma
RID3989     angiosarcoma
RID399      subphrenic space
RID3991     epithelioid hemangioendothelioma
RID3992     infantile hemangioendothelioma
RID3993     Kaposiform hemangioendothelioma
RID3994     spindle cell hemangioendothelioma
RID3995     hemangioblastoma
RID3997     hemangiopericytoma
RID3998     hemangiosarcoma
RID3999     Kaposi sarcoma
RID400      subhepatic space
RID4002     osteoma
